equation_solving,vertices_number,network uncertainty,mimicry_factor,model construction,states,transitions,value,time
1.8590494060000018,10,0.7,1,128.099,96168,525152,4.18928,6.664
1.844734913000003,10,0.8,0.1,147.603,96168,547391,1.9972600000000005,6.706
1.9157045539999984,10,0.8,0.2,162.744,96168,546922,2.3052600000000005,6.249
1.4096219680000004,10,0.8,0.3,141.048,96168,532678,2.6052800000000005,6.044
1.4568064889999999,10,0.8,0.4,134.106,96168,523489,2.857280000000001,6.48
1.4312792190000014,10,0.8,0.5,129.882,96168,523489,3.10928,9.853
2.8737960349999967,10,0.8,0.6,130.625,96168,518584,3.3612800000000007,5.865
1.554917626,10,0.8,0.7,126.461,96168,518584,3.613280000000001,6.636
1.7809274469999992,10,0.8,0.8,130.843,96168,518584,3.865279999999999,6.524
1.8729037820000034,10,0.8,0.9,136.462,96168,518584,4.117280000000001,5.882
1.8549441089999976,10,0.8,1,128.857,96168,518584,4.36928,6.652
1.8741665829999985,10,0.9,0.1,151.065,96168,544792,2.157260000000001,6.276
1.4880064869999987,10,0.9,0.2,150.03,96168,544050,2.465260000000001,6.312
1.554184351000002,10,0.9,0.3,137.91,96168,539076,2.773260000000001,6.032
1.860756632999999,10,0.9,0.4,133.072,96168,527419,3.0372839999999997,6.954
1.800058143999999,10,0.9,0.5,131.809,96168,522787,3.28928,6.492
1.8227764549999963,10,0.9,0.6,133.687,96168,522787,3.5412800000000004,6.509
1.7166199840000007,10,0.9,0.7,127.601,96168,518155,3.7932800000000015,6.619
1.8712177559999974,10,0.9,0.8,126.658,96168,518155,4.04528,6.694
1.8449971689999989,10,0.9,0.9,127.337,96168,518155,4.297284000000001,6.658
1.9152841099999982,10,0.9,1,124.521,96168,518155,4.549280000000001,6.662
1.8212231059999993,10,1,0.1,150.591,96168,539641,2.31726,6.198
1.4371634289999993,10,1,0.2,146.526,96168,537023,2.6252600000000004,6.443
1.7332940469999953,10,1,0.3,151.487,96168,536333,2.93326,6.268
1.4424836469999986,10,1,0.4,133.723,96168,525142,3.21728,6.128
1.4541794289999974,10,1,0.5,133.175,96168,520510,3.4692800000000013,7.868
2.5650023200000054,10,1,0.6,131.556,96168,520510,3.7212799999999997,6.41
1.5360990909999999,10,1,0.7,128.901,96168,520510,3.973280000000001,6.679
1.7427328340000041,10,1,0.8,122.619,96168,515878,4.225280000000001,6.331
2.031525157000001,10,1,0.9,128.394,96168,515878,4.47728,6.976
1.940343011000001,10,1,1,131.543,96168,515878,4.72928,6.2
