width,length,rob_x,rob_y,rig_x,rig_y,id,states,transitions,value,time
14,7,0,0,13,6,0,21938,1443451,0.9972263996982491,43.361
4,4,0,0,3,3,0,636,38350,0.7593757257990335,0.385
9,13,0,0,8,12,0,29475,2002035,0.969468028544194,82.945
8,8,0,0,7,7,0,9208,607840,0.9452519266302554,13.46
11,3,0,0,10,2,0,2893,175269,0.999652332775151,1.751
6,3,0,0,5,2,0,858,50563,0.9491946351095819,0.368
12,14,0,0,11,13,0,,,,
7,7,0,0,6,6,0,5481,357985,0.9683545746768837,6.789
12,7,0,0,11,6,0,16116,1060653,0.9806414513370096,31.727
4,11,0,0,3,10,0,4220,281772,0.5322109571736438,10.405
10,8,0,0,9,7,0,14390,952126,0.9784102008711626,38.784
8,14,0,0,7,13,0,26872,1827394,0.9101678830439046,81.574
4,3,0,0,3,2,0,380,21686,0.8135369952935638,0.19
14,11,0,0,13,10,0,51730,3495085,0.9967976144082542,244.837
2,14,0,0,1,13,0,1678,110572,0.04089688496465198,3.31
7,9,0,0,6,8,0,8813,586797,,
4,5,0,0,3,4,0,956,58964,0.6354829523413754,0.653
6,4,0,0,5,3,0,1434,88194,0.9309422448369702,0.806
12,11,0,0,11,10,0,38004,2563500,0.9911773697529153,192.785
12,2,0,0,11,1,0,1716,98454,0.9999646591449621,0.87
11,8,0,0,10,7,0,17413,1155988,0.9797945583945855,32.111
4,9,0,0,3,8,0,2876,188600,0.5277346381544907,44.227
7,5,0,0,6,4,0,2933,186497,0.90778125781751,2.591
7,12,0,0,6,11,0,15281,1030931,0.9047272901865608,32.698
11,5,0,0,10,4,0,7249,465649,0.9983717170447435,7.006
6,7,0,0,5,6,0,4026,263714,0.9090084262252783,5.014
7,3,0,0,6,2,0,1169,69825,0.9881459726353656,0.54
3,10,0,0,2,9,0,1977,130175,0.2768435742506758,2.64
10,12,0,0,9,11,0,31190,2106874,0.9688742765787507,106.168
5,14,0,0,4,13,0,10495,712567,0.6109890784356369,25.984
5,4,0,0,4,3,0,995,60241,0.7789070794135735,0.573
9,12,0,0,8,11,0,25263,1713159,0.9539362311338216,57.356
14,6,0,0,13,5,0,16450,1072824,0.9951262004265528,25.023
4,13,0,0,3,12,0,5820,394486,0.5003297467353252,10.722
12,5,0,0,11,4,0,8628,554843,0.9968962697748595,11.802
8,6,0,0,7,5,0,5368,348160,0.9425464773900099,25.161
11,12,0,0,10,11,0,37741,2554345,0.9900554522379554,127.327
2,4,0,0,1,3,0,158,8842,0.08946097815219087,0.088
