width,length,rob_x,rob_y,rig_x,rig_y,id,distance,states,transitions,value,time
6,6,1,1,5,5,11,4,3018,192140,0.8590243269528115,7.971
6,6,4,4,5,5,7,1,3018,193680,0.7126165535880404,3.68
6,6,3,3,5,5,18,2,3018,193190,0.8787182901686307,4.612
6,6,5,5,5,5,9,0,1,1,0.0,0.005
6,6,4,4,5,5,10,1,3018,192280,0.6921036303101106,2.61
6,6,1,1,5,5,7,4,3018,193680,0.8653862813138754,3.03
6,6,3,3,5,5,0,2,3018,193260,0.8892134482901259,4.402
6,6,5,5,5,5,14,0,1,1,0.0,0.005
6,6,1,1,5,5,12,4,3018,192840,0.8467884693001537,5.197
6,6,4,4,5,5,0,1,3018,193260,0.6313525270521945,4.918
6,6,2,2,5,5,9,3,3018,191230,0.9024977479960138,3.373
6,6,0,0,5,5,16,5,3018,192490,0.7398632545853128,5.317
6,6,3,3,5,5,7,2,3018,193680,0.8071447889809413,3.844
6,6,1,1,5,5,0,4,3018,193260,0.9331397035888316,5.436
6,6,5,5,5,5,17,0,1,1,0.0,0.006
6,6,4,4,5,5,13,1,3018,192560,0.7895821526001642,4.465
6,6,4,4,5,5,1,1,3018,193610,0.7199473164709139,9.612
6,6,2,2,5,5,8,3,3018,191860,0.8482768371852957,3.465
6,6,5,5,5,5,19,0,1,1,0.0,0.005
6,6,3,3,5,5,6,2,3018,192140,0.8996172893148346,2.945
6,6,0,0,5,5,18,5,3018,193190,0.8561922438264877,6.55
6,6,1,1,5,5,1,4,3018,193610,0.8571738805134475,8.862
6,6,2,2,5,5,11,3,3018,192140,0.8629511001484523,5.828
6,6,3,3,5,5,15,2,3018,192560,0.913457704775207,2.92
6,6,4,4,5,5,2,1,3018,193890,0.8720841125853986,3.39
6,6,1,1,5,5,16,4,3018,192490,0.771314182113792,4.333
6,6,0,0,5,5,12,5,3018,192840,0.8236635145515008,5.125
6,6,1,1,5,5,2,4,3018,193890,0.9553346914112089,3.374
6,6,5,5,5,5,13,0,1,1,0.0,0.007
6,6,3,3,5,5,5,2,3018,192140,0.9444921086515239,2.815
6,6,4,4,5,5,17,1,3018,192490,0.6362591987042349,3.192
6,6,4,4,5,5,3,1,3018,193680,0.7211216681198873,19.506
6,6,4,4,5,5,19,1,3018,192210,0.6609720891160629,4.726
6,6,2,2,5,5,15,3,3018,192560,0.9413375907001534,2.968
6,6,1,1,5,5,3,4,3018,193680,0.9053624095397838,16.506
6,6,3,3,5,5,4,2,3018,192210,0.8317743396919649,3.8
6,6,3,3,5,5,11,2,3018,192140,0.8641917865600661,8.012
6,6,1,1,5,5,18,4,3018,193190,0.8949306380762443,5.331
