instance,t,value,time,equation_solving,vertices_number,model_construction,states,transitions
5,50,0.2398546495112734,0.215,0.08468208600000002,8,0.536,10280,74840
5,100,0.7276434474789533,0.322,0.08468208600000002,8,0.536,10280,74840
5,150,0.8249162280417803,0.481,0.08468208600000002,8,0.536,10280,74840
5,200,0.8614571997120757,0.638,0.08468208600000002,8,0.536,10280,74840
5,250,0.8737728689637343,0.798,0.08468208600000002,8,0.536,10280,74840
5,350,0.8799581623535466,1.133,0.08468208600000002,8,0.536,10280,74840
5,400,0.8805161887054818,1.282,0.08468208600000002,8,0.536,10280,74840
5,450,0.8806898185597772,1.457,0.08468208600000002,8,0.536,10280,74840
5,500,0.8807562300948395,1.603,0.08468208600000002,8,0.536,10280,74840
